i,c_idx
270,0
270,1
270,2
270,3
270,4
159,5
159,0
159,6
233,7
233,0
132,8
132,9
132,10
132,11
132,0
663,12
663,0
663,13
663,14
1135,15
1135,16
1135,17
1135,18
1135,4
1135,19
1135,1
1135,0
890,1
890,20
71,0
71,21
71,22
71,23
71,1
71,3
71,24
71,25
365,26
365,27
365,28
598,29
598,30
1221,31
1221,32
380,0
380,33
843,34
843,27
843,35
1089,36
1089,37
1089,38
1089,39
1089,40
1089,41
1089,42
1089,43
1089,44
563,45
563,30
563,46
128,47
128,0
128,5
128,6
929,32
929,48
929,49
929,50
1336,20
1336,1
1253,51
1253,0
1253,52
91,1
91,3
260,53
260,54
260,30
260,55
260,28
260,56
260,57
260,58
260,27
82,0
82,59
82,60
82,61
82,1
82,3
1408,30
1408,62
447,63
447,64
447,65
447,16
447,66
447,67
447,68
447,69
447,39
447,43
440,70
440,0
440,5
440,71
440,72
440,73
440,74
440,75
440,76
440,33
440,11
440,9
1109,77
1109,78
1109,79
1109,25
1109,1
1109,30
264,65
264,80
264,81
264,82
817,1
817,4
817,0
257,83
257,84
257,0
257,85
257,1
257,4
257,86
353,87
353,0
353,18
353,11
353,9
370,88
370,79
370,89
370,90
370,91
370,92
483,93
483,65
483,94
483,30
483,95
899,43
899,67
899,39
899,96
473,66
473,39
473,97
473,98
1263,24
1263,99
1263,0
1263,100
1263,1
1019,101
1019,102
1019,103
1019,104
1019,105
1019,30
1019,95
1019,16
1019,45
452,106
452,107
452,28
776,46
776,108
776,109
776,45
776,30
776,110
1265,111
1265,112
1265,79
1449,113
1449,114
1449,0
1449,1
1449,12
737,0
737,115
737,116
737,11
737,8
737,59
737,47
737,9
941,117
941,21
103,28
103,118
103,79
103,112
103,119
103,120
103,121
768,0
768,52
149,0
149,122
149,59
149,51
308,30
308,1
308,16
308,123
308,124
308,125
308,126
308,127
1291,65
1291,128
43,7
43,0
181,9
181,11
181,129
1238,30
1238,50
1238,130
1238,32
1238,131
1319,132
1319,114
1319,1
1319,133
1406,134
1406,135
1406,136
1406,27
1406,137
217,66
217,138
217,122
217,18
217,98
217,9
217,11
217,0
962,139
962,27
491,30
491,140
491,28
491,141
491,142
491,143
491,144
518,145
518,30
518,58
518,146
518,27
518,147
185,148
185,79
185,149
384,0
384,150
448,0
448,1
448,61
448,59
448,3
448,24
448,22
448,122
476,31
476,32
312,151
312,0
321,0
321,8
321,122
321,132
321,18
321,11
321,9
321,1
610,66
610,18
610,0
610,1
610,152
610,52
610,153
610,59
1366,0
1366,52
1366,51
633,32
633,154
1223,61
1223,1
1223,59
1223,3
1223,0
1223,51
1223,22
527,65
527,66
527,128
527,155
527,64
398,1
398,86
398,0
398,3
398,59
1144,0
1144,153
1144,52
1144,99
589,39
589,43
860,156
860,157
860,158
860,82
860,159
860,160
860,80
860,28
860,65
860,161
860,162
860,163
1355,34
1355,27
1355,164
1252,0
1252,151
1438,0
1438,52
1438,1
1438,3
1438,51
409,11
409,9
409,125
409,126
409,129
409,165
409,1
409,0
1097,166
1097,167
1097,117
1097,39
1097,21
1097,168
341,10
341,9
341,0
341,11
341,169
341,59
856,154
856,32
729,30
729,62
729,170
729,171
820,30
820,58
820,172
401,173
401,79
401,32
401,174
849,30
849,1
849,79
849,78
849,25
849,77
142,175
142,0
142,24
142,59
142,176
1304,177
1304,114
1304,30
1304,1
1304,178
1304,179
1304,133
1351,45
1351,46
1351,30
1351,180
1351,95
1351,102
6,0
6,22
6,13
6,24
1448,1
1448,11
1448,0
1448,181
1448,9
1448,165
1448,129
1448,125
1448,126
1448,66
1448,182
1448,152
508,183
508,0
508,11
508,47
508,9
508,18
1212,154
1212,32
559,32
559,50
559,131
559,48
559,49
559,30
290,58
290,30
290,184
290,171
290,146
996,185
996,28
996,186
1031,187
1031,188
144,85
144,84
144,0
144,47
718,189
718,190
718,79
718,191
718,192
718,188
373,22
373,23
373,1
373,25
373,0
373,21
373,3
373,24
668,24
668,176
668,12
668,1
668,3
668,22
668,0
668,122
609,193
609,194
609,32
609,50
219,32
219,49
219,195
219,50
783,196
783,197
441,193
441,32
441,198
441,199
441,200
441,50
441,194
441,195
441,30
441,45
800,30
800,62
697,201
697,202
697,203
697,112
697,79
141,204
141,0
141,6
487,131
487,32
487,30
487,49
487,205
487,206
487,50
521,0
521,12
1397,68
1397,65
1397,64
1397,66
807,95
807,45
807,207
807,102
807,30
1172,9
1172,1
1172,0
1172,125
1172,126
1172,18
1172,11
531,0
531,75
531,1
531,86
531,83
372,32
372,31
372,50
372,208
1311,16
1311,130
1311,209
1311,210
1311,211
1311,30
1311,212
11,99
11,11
11,9
11,22
11,1
