c_idx,category_name
0,Restaurants
1,Food
2,Bubble Tea
3,Coffee & Tea
4,Bakeries
5,Sushi Bars
6,Japanese
7,Korean
8,Cocktail Bars
9,Bars
10,Italian
11,Nightlife
12,Pizza
13,Salad
14,Soup
15,Eatertainment
16,Arts & Entertainment
17,Brewpubs
18,American (Traditional)
19,Breweries
20,Grocery
21,Automotive
22,Delis
23,Gas Stations
24,Sandwiches
25,Convenience Stores
26,Keys & Locksmiths
27,Home Services
28,Local Services
29,Eyewear & Opticians
30,Shopping
31,Barbers
32,Beauty & Spas
33,Chinese
34,Real Estate
35,Real Estate Agents
36,Buses
37,Transportation
38,Bus Tours
39,Hotels & Travel
40,Travel Agents
41,Travel Services
42,Airport Shuttles
43,Tours
44,Public Transportation
45,Fashion
46,Men's Clothing
47,Seafood
48,Hair Stylists
49,Hair Extensions
50,Hair Salons
51,Burgers
52,Fast Food
53,Carpet Cleaning
54,Rugs
55,Flooring
56,Home Cleaning
57,Carpeting
58,Home & Garden
59,Breakfast & Brunch
60,Vegan
61,Bagels
62,Jewelry
63,Local Flavor
64,Team Building Activities
65,Active Life
66,Event Planning & Services
67,Walking Tours
68,Scavenger Hunts
69,Museums
70,Shanghainese
71,Szechuan
72,Sports Bars
73,Lounges
74,Asian Fusion
75,Thai
76,Karaoke
77,Drugstores
78,Pharmacy
79,Health & Medical
80,Fitness & Instruction
81,Trainers
82,Gyms
83,Cupcakes
84,Caribbean
85,Trinidadian
86,Cafes
87,Tex-Mex
88,Orthodontists
89,Oral Surgeons
90,General Dentistry
91,Dentists
92,Cosmetic Dentists
93,Bike Rentals
94,Bikes
95,Sporting Goods
96,Food Tours
97,Hotels
98,Venues & Event Spaces
99,Chicken Wings
100,Donuts
101,Arts & Crafts
102,Sports Wear
103,Costumes
104,Performing Arts
105,Adult
106,Shoe Repair
107,Sewing & Alterations
108,Women's Clothing
109,Children's Clothing
110,Accessories
111,Radiologists
112,Doctors
113,Ethnic Food
114,Specialty Food
115,Cajun/Creole
116,Southern
117,Auto Repair
118,Community Service/Non-Profit
119,Family Practice
120,Medical Centers
121,Counseling & Mental Health
122,American (New)
123,Wholesale Stores
124,Brewing Supplies
125,Beer
126,Wine & Spirits
127,Wineries
128,Escape Games
129,Pubs
130,Professional Services
131,Cosmetics & Beauty Supply
132,Desserts
133,Chocolatiers & Shops
134,Carpenters
135,Pressure Washers
136,Wallpapering
137,Painters
138,Whiskey Bars
139,Plumbing
140,Electronics Repair
141,IT Services & Computer Repair
142,Mobile Phone Repair
143,Mobile Phone Accessories
144,Mobile Phones
145,Building Supplies
146,Home Decor
147,Kitchen & Bath
148,Hospitals
149,Optometrists
150,French
151,Indian
152,Caterers
153,Chicken Shop
154,Nail Salons
155,Challenge Courses
156,Preschools
157,Recreation Centers
158,Education
159,Community Centers
160,Day Camps
161,Public Services & Government
162,Child Care & Day Care
163,Summer Camps
164,Apartments
165,Irish
166,Car Dealers
167,Auto Parts & Supplies
168,Car Rental
169,Wine Bars
170,Watches
171,Antiques
172,Appliances
173,Massage
174,Medical Spas
175,Diners
176,Vegetarian
177,Flowers & Gifts
178,Florists
179,Gift Shops
180,Shoe Stores
181,Irish Pub
182,Gastropubs
183,Steakhouses
184,Furniture Stores
185,Laundromat
186,Laundry Services
187,Veterinarians
188,Pets
189,Dog Walkers
190,Pet Services
191,Reiki
192,Pet Sitting
193,Waxing
194,Hair Removal
195,Makeup Artists
196,Banks & Credit Unions
197,Financial Services
198,Eyelash Service
199,Used
200,Vintage & Consignment
201,Gastroenterologist
202,Chiropractors
203,Nutritionists
204,Ramen
205,Wigs
206,Skin Care
207,Souvenir Shops
208,Men's Hair Salons
209,Spiritual Shop
210,Supernatural Readings
211,Life Coach
212,Religious Items
213,Beer Gardens
214,Beer Bar
215,Truck Rental
216,Malaysian
217,Burmese
218,Juice Bars & Smoothies
219,Movers
220,Boot Camps
221,Weight Loss Centers
222,Martial Arts
223,Massage Therapy
224,Food Delivery Services
225,Halal
226,Buffets
227,Pakistani
228,Cheesesteaks
229,Real Estate Services
230,Computers
231,Specialty Schools
232,Marketing
233,Telecommunications
234,Graphic Design
235,Web Design
236,Home Network Installation
237,Security Systems
238,Legal Services
239,Blow Dry/Out Services
240,Ice Cream & Frozen Yogurt
241,Piercing
242,Tattoo
243,Body Shops
244,Personal Shopping
245,Meat Shops
246,Property Management
247,Decks & Railing
248,Junk Removal & Hauling
249,Contractors
250,Windows Installation
251,Handyman
252,TV Mounting
253,Drywall Installation & Repair
254,Demolition Services
255,Books
256,Mags
257,Music & Video
258,Videos & Video Game Rental
259,Cinema
260,Art Galleries
261,Pet Groomers
262,Professional Sports Teams
263,Food Trucks
264,Sardinian
265,Gelato
266,Home Inspectors
267,Mexican
268,Soul Food
269,Yoga
270,Greek
271,Food Court
272,Shopping Centers
273,Latin American
274,Bike Repair/Maintenance
275,Pediatric Dentists
276,Endodontists
277,Periodontists
278,Video Game Stores
279,Electronics
280,Do-It-Yourself Food
281,Comfort Food
282,Used Car Dealers
283,Wedding Planning
284,Sports Clubs
285,Archery
286,Interior Design
287,Fishing
288,Guns & Ammo
289,Outdoor Gear
290,Seafood Markets
291,Vietnamese
292,Urgent Care
293,Dry Cleaning & Laundry
294,Pet Stores
295,IV Hydration
296,Tires
297,Pet Training
298,Barbeque
299,Self Storage
300,Couriers & Delivery Services
301,Thrift Stores
302,Roofing
303,Dive Bars
304,Mediterranean
305,Day Spas
306,Laotian
307,Pickleball
308,Swimming Pools
309,Pilates
310,Tapas Bars
311,Parking
312,Pediatricians
313,Naturopathic/Holistic
314,Coffee Roasteries
315,Diagnostic Services
316,Laboratory Testing
317,Amateur Sports Teams
318,Social Clubs
319,Noodles
320,Matchmakers
321,Nurseries & Gardening
322,Art Restoration
323,Jewelry Repair
324,Watch Repair
325,Bridal
326,Mortgage Brokers
327,Orthopedists
328,Sports Medicine
329,Physical Therapy
330,Rehabilitation Center
331,Acupuncture
332,Spray Tanning
333,Tanning
334,Teeth Whitening
335,Emergency Pet Hospital
336,Furniture Repair
337,Furniture Assembly
338,Wraps
339,Creperies
340,Internet Cafes
341,Cuban
342,Investing
343,Taiwanese
344,Spanish
345,Formal Wear
346,Pet Adoption
347,Gun/Rifle Ranges
348,Sleep Specialists
349,Jazz & Blues
350,Music Venues
351,Auto Detailing
352,Health Markets
353,Limos
354,Oil Change Stations
355,Moroccan
356,Internet Service Providers
357,Television Service Providers
358,Festivals
359,Landmarks & Historical Buildings
360,Fruits & Veggies
361,Cards & Stationery
362,Office Equipment
363,Personal Assistants
364,Home Organization
365,Party & Event Planning
366,Printing Services
367,Screen Printing/T-Shirt Printing
368,Customized Merchandise
369,Signmaking
370,Trophy Shops
371,Badminton
372,Employment Agencies
373,Skating Rinks
374,Distilleries
375,Dance Clubs
376,Filipino
377,Puerto Rican
378,Nail Technicians
379,Musical Instruments & Teachers
380,Tacos
381,Fabric Stores
382,Television Stations
383,Mass Media
384,Perfume
385,Candle Stores
386,Airport Terminals
387,Airports
388,Shipping Centers
389,Post Offices
390,Falafel
391,Art Supplies
392,Pan Asian
393,Home Theatre Installation
394,Gay Bars
395,Print Media
396,Commercial Real Estate
397,Photography Stores & Services
398,Bookstores
399,Ethiopian
400,Office Cleaning
401,Eyebrow Services
402,Gutter Services
403,Siding
404,Cantonese
405,Comedy Clubs
406,Adult Entertainment
407,Strip Clubs
408,Cardio Classes
409,Cooking Schools
410,Hardware Stores
411,Door Sales/Installation
