business_id,i_idx
7ATYjTIgM3jUlt4UM3IypQ,0
kxX2SOes4o-D3ZQBkiMRfA,1
RZtGWDLCAtuipwaZ-UfjmQ,2
YtSqYv1Q_pOltsVPSx54SA,3
eFvzHawVJofxSnD7TgbZtg,4
rjuWz_AD3WfXJc03AhIO_w,5
kq5Ghhh14r-eCxlVmlyd8w,6
oBhJuukGRqPVvYBfTkhuZA,7
jTI5Xjk27An8ceJ6VwpXiQ,8
EtKSTHV5Qx_Q7Aur9o4kQQ,9
VJEzpfLs_Jnzgqh5A_FVTg,10
NQSnr4RPUScss607oxOaqw,11
6LCZLGa09Qifn6rG7-DNrg,12
SIoCIxjn4jLt2O-4DajWJw,13
2GYg3liJ9-m6Z67L_4_BRQ,14
HTqXI5S2XcSlh_ylx9sE6g,15
9gObo5ltOMo6UgsaXaHPWA,16
D5V0Fawd6ODVgqCY8xngsw,17
gGyqnAlpFrka_qzpO7j4lQ,18
D4DZztR7vkbiED6txGUYFg,19
Dv6RfXLYe1atjgz3Xf4GGw,20
C7ZNfxgDQWinNzRfTkevxg,21
eMiN8nm70jjKg8izikVWDA,22
xruWHK8Z5N0JWyQubLHjgA,23
tJCnUtGdyPyOGt5kudLrTA,24
QvjY9esYNRMe_5kvT6TC5g,25
roc-xyyzN5b_nImb0NdRLQ,26
etzkwuhZGHUXJhdPC_y4pA,27
V6Om7YZhlRQRU7WfuxHq8Q,28
fjAbzsW03bW3EvC4-e184g,29
7T1VAYHIS3cgsDj3iS6JWQ,30
7sKfrJmjG6unAQeWdQUe2w,31
5ezrDoezdUlJpUa5Jg6dUQ,32
jX8i0O2x-koganf8WwHXdA,33
y7qvy9LcyK2hr_VcPBiPaQ,34
eaDZlSuVS0EY67Ke6pRP6Q,35
-ATiAtTikuGuqvaW2O6tNA,36
TttFjRQ-8Iz8by4hsD7iOQ,37
68ThEdiK0eWCEgGEmV9Tng,38
tQYOAfl33tmP4oWpfyRr6g,39
MMRRS6YhVRx_iN5-JhMRYg,40
9PCPV34KV1B_E3v1IUi4tQ,41
J-ciDDEdIHMcChGIyKZnOg,42
QWqKTWQ2OiDgo3dzNkpung,43
AY1SyySRyTnBwBdf7qfGxQ,44
DsKzHnkLKnxZTVsFpts4oA,45
mUIBtlWNPD7sz3rGGWQ1RA,46
rQ2CSHRkZSn5WCu7OfVI-Q,47
cXSyVvOr9YRN9diDkaWs0Q,48
DRnvSL_I8MLuTLhl6O4JBQ,49
EneM1oBFxncaR1nQCD3gYA,50
Gw7UW0E2BguzL9suQnwDeg,51
I8eSWVzc_y9ORuKWgl07Tw,52
rQW9iupvhk6ScPn2VPNLVQ,53
cdqTpsr110wSNPMtLCPh7A,54
GUMVStVaJfWmCIpQA4TtHg,55
GOSVLhjUT6TnrPhkkmDOpw,56
N-MVwAcmsQDZCxbZjZhPDA,57
Q-prSTdggNlxAEFV88BZOw,58
BJphaOPeTtqUFF5pauQEhw,59
Es39sSDXiReBthHLBSD_Xw,60
gCcJTKC40CL0XtYYGfcXDw,61
_IYHl6J9iB3lbeJq27pbsg,62
KgozvZ1UFfXuJToqe8CfQg,63
u7_3L1NBWgxhBM_B-cmmnA,64
WRMlifrYLjRY8q5YUUbfZA,65
FHNIvNgh3fS7VZQq2Y3dsA,66
8FALz8g6oaTca0ufiUuF6w,67
U30ggGzFpXvc2NZYwOW3qg,68
2er_V-oAd7IbQ5YTY56r7A,69
tFh0DrDMTom4B3pHpDpRNQ,70
ppFCk9aQkM338Rgwpl2F5A,71
Z5po0aTuzKKblek5y6Sp8Q,72
TFnGJlA5l_HDdzGDkNTdTA,73
NMtUD873aWrNjljt3VOcFA,74
PYUI1OJVksGUbCrteU68bw,75
rVfe1LHo55A2fworkm_jVw,76
wUnLSg_GKfEIQ5CQQ770_g,77
kkcQYuF3w5iHnHMf0EnRhQ,78
qot32tHVWZpiJibLTwQGyw,79
j99PtxlKTW_u5alE4jiqHQ,80
OHzX-ZD9qyoeoxR8Z0dlIA,81
