i,deg_inter
0,145
1,152
2,221
3,196
4,203
5,81
6,56
7,258
8,174
9,1209
10,191
11,108
12,121
13,253
14,47
15,214
16,484
17,327
18,458
19,40
20,918
21,60
22,343
23,59
24,12
25,39
26,43
27,73
28,397
29,4
30,101
31,59
32,62
33,69
34,81
35,790
36,338
37,47
38,263
39,33
40,608
41,41
42,198
43,322
44,75
45,406
46,526
47,188
48,1198
49,33
50,205
51,257
52,236
53,410
54,4
55,395
56,186
57,17
58,737
59,27
60,10
61,379
62,6
63,60
64,498
65,88
66,634
67,72
68,443
69,433
70,10
71,25
72,267
73,129
74,36
75,271
76,176
77,429
78,330
79,30
80,397
81,746
82,169
83,451
84,125
85,32
86,148
87,242
88,183
89,200
90,50
91,78
92,123
93,26
94,85
95,14
96,250
97,320
98,7
99,78
100,413
101,157
102,238
103,26
104,44
105,39
106,214
107,75
108,48
109,30
110,47
111,53
112,97
113,422
114,400
115,23
116,48
117,715
118,506
119,177
120,589
121,390
122,235
123,45
124,298
125,87
126,23
127,145
128,69
129,6
130,69
131,224
132,48
133,146
134,307
135,179
136,7
137,234
138,31
139,47
140,65
141,67
142,241
143,129
144,109
145,147
146,3
147,10
148,5
149,526
150,166
151,189
152,18
153,19
154,134
155,117
156,130
157,211
158,571
159,195
160,74
161,93
162,52
163,37
164,99
165,505
166,5
167,14
168,247
169,135
170,97
171,623
172,172
173,349
174,8
175,59
176,10
177,21
178,39
179,19
180,24
181,50
182,109
183,22
184,77
185,20
186,31
187,105
188,24
189,49
190,73
191,48
192,66
193,202
194,7
195,449
196,100
197,39
198,89
199,83
200,56
201,210
202,76
203,29
204,52
205,154
206,3
207,45
208,140
209,40
210,17
211,33
212,11
213,3
214,9
215,37
216,42
217,446
218,22
219,24
220,28
221,5
222,79
223,59
224,24
225,21
226,25
227,36
228,151
229,267
230,18
231,32
232,133
233,170
234,5
235,138
236,200
237,47
238,446
239,5
240,421
241,2
242,188
243,86
244,202
245,998
246,27
247,11
248,72
249,63
250,285
251,306
252,183
253,155
254,123
255,131
256,66
257,57
258,7
259,75
260,16
261,15
262,66
263,59
264,57
265,96
266,15
267,36
268,45
269,52
270,69
271,20
272,63
273,82
274,9
275,105
276,7
277,86
278,212
279,63
280,44
281,39
282,14
283,18
284,9
285,137
286,169
287,202
288,20
289,168
290,5
291,108
292,181
293,14
294,59
295,11
296,8
297,26
298,138
299,13
300,179
301,22
302,105
303,78
304,57
305,9
306,78
307,8
308,32
309,124
310,34
311,115
312,162
313,79
314,47
315,29
316,39
317,60
318,23
319,92
320,98
321,116
322,77
323,161
324,122
325,3
326,56
327,99
328,64
329,102
330,81
331,92
332,156
333,64
334,6
335,12
336,12
337,28
338,48
339,58
340,43
341,67
342,132
343,23
344,129
345,45
346,39
347,8
348,155
349,4
350,1
351,68
352,23
353,76
354,70
355,111
356,18
357,32
358,8
359,124
360,42
361,21
362,7
363,57
364,81
365,51
366,25
367,19
368,95
369,8
370,83
371,129
372,57
373,27
374,12
375,4
376,235
377,25
378,75
379,34
380,66
381,13
382,79
383,71
384,107
385,6
386,100
387,18
388,50
389,86
390,70
391,19
392,55
393,17
394,8
395,39
396,11
397,14
398,11
399,44
400,11
401,49
402,57
403,277
404,40
405,27
406,30
407,19
408,33
409,28
410,115
411,50
412,31
413,265
414,8
415,89
416,12
417,10
418,11
419,13
420,10
421,16
422,16
423,12
424,78
425,1
426,9
427,66
428,29
429,42
430,34
431,91
432,12
433,33
434,19
435,2
436,5
437,32
438,5
439,12
440,34
441,127
442,18
443,28
444,11
445,57
446,12
447,3
448,26
449,18
450,13
451,85
452,23
453,13
454,27
455,37
456,189
457,7
458,19
459,27
460,10
461,113
462,10
463,16
464,19
465,50
466,33
467,3
468,59
469,22
470,4
471,20
472,18
473,68
474,306
475,21
476,2
477,87
478,9
479,16
480,12
481,27
482,23
483,15
484,74
485,65
486,5
487,15
488,17
489,70
490,14
491,92
492,32
493,61
494,7
495,20
496,38
497,3
498,120
499,41
500,172
501,26
502,14
503,23
504,18
505,14
506,6
507,36
508,85
509,36
510,4
511,24
512,5
513,77
514,16
515,21
516,62
517,41
518,16
519,27
520,16
521,21
522,4
523,8
524,4
525,7
526,33
527,23
528,15
529,67
530,10
531,9
532,22
533,43
534,17
535,24
536,16
537,71
538,36
539,15
540,8
541,35
542,57
543,30
544,70
545,13
546,11
547,145
548,13
549,55
550,5
551,15
552,36
553,9
554,29
555,7
556,24
557,5
558,18
559,15
560,18
561,34
562,10
563,16
564,26
565,30
566,9
567,12
568,9
569,23
570,29
571,44
572,5
573,8
574,2
575,7
576,42
577,2
578,16
579,14
580,9
581,49
582,5
583,7
584,13
585,25
586,9
587,5
588,9
589,4
590,5
591,94
592,8
593,81
594,13
595,5
596,6
597,46
598,6
599,9
600,15
601,40
602,10
603,6
604,47
605,4
606,16
607,12
608,22
609,20
610,58
611,8
612,4
613,7
614,14
615,8
616,6
617,12
618,7
619,16
620,24
621,5
622,35
623,5
624,48
625,6
626,5
627,24
628,28
629,21
630,5
631,4
632,59
633,33
634,57
635,10
636,32
637,78
638,18
639,5
640,30
641,34
642,30
643,10
644,11
645,12
646,8
647,4
648,57
649,48
650,2
651,25
652,105
653,7
654,5
655,21
656,67
657,18
658,9
659,29
660,33
661,19
662,17
663,18
664,24
665,23
666,22
667,33
668,19
669,14
670,46
671,12
672,26
673,14
674,23
675,55
676,32
677,12
678,14
679,29
680,7
681,18
682,24
683,25
684,9
685,15
686,9
687,19
688,61
689,5
690,5
691,8
692,17
693,20
694,16
695,62
696,22
697,15
698,8
699,24
700,24
701,9
702,60
703,13
704,13
705,34
706,36
707,7
708,7
709,21
710,25
711,32
712,5
713,30
714,5
715,17
716,33
717,17
718,12
719,4
720,37
721,21
722,4
723,8
724,21
725,2
726,2
727,5
728,4
729,8
730,9
731,3
732,11
733,9
734,78
735,26
736,6
737,55
738,3
739,5
740,11
741,9
742,9
743,10
744,58
745,70
746,26
747,26
748,10
749,2
750,31
751,12
752,4
753,33
754,16
755,12
756,18
757,2
758,8
759,6
760,9
761,6
762,11
763,12
764,3
765,29
766,9
767,4
768,7
769,4
770,3
771,4
772,17
773,6
774,14
775,6
776,5
777,19
778,3
779,9
780,4
781,11
782,6
783,2
784,13
785,7
786,2
787,1
788,9
789,20
790,11
791,40
792,3
793,62
794,12
795,3
796,13
797,3
798,24
799,17
800,28
801,5
802,9
803,4
804,28
805,10
806,11
807,21
808,6
809,5
810,19
811,13
812,42
813,5
814,4
815,7
816,5
817,10
818,5
819,27
820,5
821,4
822,4
823,11
824,12
825,27
826,10
827,17
828,22
829,7
830,12
831,6
832,7
833,17
834,19
835,20
836,1
837,11
838,9
839,3
840,7
841,4
842,18
843,17
844,4
845,6
846,19
847,4
848,20
849,11
850,5
851,3
852,16
853,16
854,12
855,18
856,16
857,6
858,7
859,6
860,6
861,3
862,20
863,11
864,7
865,3
866,4
867,3
868,5
869,40
870,11
871,10
872,3
873,3
874,33
875,12
876,6
877,7
878,6
879,5
880,13
881,40
882,45
883,25
884,15
885,3
886,4
887,15
888,12
889,2
890,10
891,7
892,6
893,21
894,4
895,15
896,9
897,4
898,4
899,2
900,8
901,3
902,9
903,4
904,19
905,3
906,4
907,26
908,11
909,6
910,16
911,10
912,2
913,11
914,7
915,7
916,9
917,5
918,2
919,5
920,12
921,9
922,4
923,5
924,5
925,19
926,11
927,5
928,7
929,1
930,3
931,13
932,4
933,9
934,6
935,6
936,4
937,6
938,4
939,8
940,18
941,14
942,5
943,5
944,2
945,12
946,17
947,2
948,13
949,4
950,55
951,1
952,9
953,23
954,7
955,8
956,6
957,3
958,14
959,7
960,6
961,3
962,5
963,8
964,6
965,3
966,9
967,9
968,8
969,3
970,3
971,5
972,8
973,9
974,9
975,7
976,17
977,1
978,18
979,3
980,1
981,6
982,8
983,2
984,1
985,4
986,4
987,3
988,25
989,1
990,9
991,4
992,5
993,4
994,2
995,12
996,13
997,3
998,7
999,10
1000,4
1001,4
1002,5
1003,5
1004,15
1005,8
1006,28
1007,4
1008,11
1009,11
1010,6
1011,1
1012,13
1013,5
1014,4
1015,2
1016,5
1017,58
1018,6
1019,7
1020,14
1021,1
1022,9
1023,5
1024,10
1025,1
1026,5
1027,3
1028,2
1029,2
1030,3
1031,29
1032,3
1033,4
1034,5
1035,5
1036,5
1037,24
1038,8
1039,8
1040,4
1041,10
1042,9
1043,13
1044,5
1045,31
1046,3
1047,9
1048,6
1049,7
1050,10
1051,7
1052,12
1053,22
1054,3
1055,8
1056,11
1057,1
1058,7
1059,8
1060,3
1061,4
1062,2
1063,5
1064,3
1065,15
1066,5
1067,27
1068,3
1069,1
1070,3
1071,4
1072,1
1073,5
1074,2
1075,6
1076,6
1077,2
1078,26
1079,7
1080,20
1081,7
1082,6
1083,2
1084,5
1085,5
1086,4
1087,3
1088,34
1089,5
1090,1
1091,3
1092,4
1093,2
1094,4
1095,5
1096,4
1097,16
1098,26
1099,1
1100,8
1101,5
1102,1
1103,2
1104,2
1105,8
1106,5
1107,2
1108,10
1109,5
1110,1
1111,2
1112,2
1113,4
1114,4
1115,2
1116,3
1117,2
1118,6
1119,3
1120,3
1121,31
1122,4
1123,2
1124,47
1125,6
1126,3
1127,9
1128,1
1129,3
1130,8
