u,deg_friend
0,16
2,21
4,11
5,2
6,14
8,23
9,77
10,126
12,51
14,92
15,16
18,52
19,61
20,23
22,92
23,37
24,2
27,363
29,599
31,3
32,13
33,9
37,8
40,57
42,1
43,98
44,4
45,112
46,27
47,4
48,59
49,48
51,54
52,51
53,37
54,164
55,9
56,52
57,1
59,6
60,17
61,1
62,26
63,83
64,3
65,43
68,3
69,20
71,20
73,26
74,12
76,90
78,1
80,2
81,5
82,1
84,17
87,2
88,89
89,3
90,21
91,6
93,30
97,5
101,15
103,37
104,64
105,54
106,35
107,6
108,10
109,4
111,4
112,1
113,1
115,10
116,7
117,2
120,1
122,59
123,12
125,18
126,36
127,2
129,2
130,111
131,13
132,18
133,220
136,18
137,7
138,23
139,3
140,34
141,2
142,10
143,51
145,1029
146,1
147,5
150,16
151,74
153,28
155,15
156,2
157,6
158,22
159,27
165,39
168,3
172,1
173,4
176,4
177,6
179,5
182,91
184,27
185,51
186,374
187,9
188,9
189,118
190,1
192,1
193,10
194,40
197,36
198,82
202,1
203,44
204,29
205,6
206,30
208,12
211,255
214,1
218,21
219,6
221,90
224,85
225,4
226,19
228,28
230,26
231,4
232,81
233,17
235,3
236,70
237,90
238,4
239,12
240,1
242,2
243,1
244,19
246,1
247,43
249,4
250,4
252,1
253,1
255,156
256,50
257,138
259,10
260,1
262,3
266,13
267,224
269,436
271,9
272,1
273,7
275,1
278,2
279,54
280,296
281,1
282,2
283,58
284,6
286,25
288,12
290,1
291,2
292,136
293,8
296,27
300,8
301,57
302,8
303,1
304,417
306,35
307,1
308,173
310,1014
312,196
313,2
314,1
315,34
316,29
319,46
320,12
321,3
323,139
325,519
326,11
327,42
328,49
332,3
333,13
334,6
336,12
337,1
339,5
341,162
342,6
343,20
344,140
345,7
346,2
347,5
348,206
349,1
350,135
351,26
352,9
353,1
354,2
355,2
356,31
358,3
359,15
362,1
364,1
365,31
367,59
370,1
371,1
372,4
373,19
374,3
375,1
376,51
380,1
381,95
382,9
384,1
386,1
388,5
391,26
392,21
394,31
398,309
399,9
400,61
405,19
406,12
407,168
408,1
410,2
411,2
412,21
413,1
415,3
416,59
417,20
419,9
421,81
422,4
423,13
424,24
425,4
426,1
429,13
431,121
433,16
434,67
436,4
437,2
442,1
443,2
444,16
445,130
446,48
447,26
449,1
450,9
452,1
453,3
454,2
455,3
456,37
457,2
459,49
460,153
462,2
463,50
464,130
465,1
467,1
468,122
472,166
473,4
474,11
476,2
477,5
479,97
480,11
482,30
484,31
485,1
488,1
489,8
490,1
491,29
492,66
493,3
494,5
495,3
496,1
497,12
498,22
500,1
502,33
504,15
507,1
508,47
509,5
510,1
511,4
512,1
513,7
514,14
517,30
518,9
519,89
520,3
521,7
522,11
523,32
525,43
527,5
