u,deg_inter
0,3
1,1
2,23
3,2
4,48
5,32
6,27
7,4
8,2
9,139
10,331
11,1
12,126
13,7
14,127
15,3
16,1
17,2
18,27
19,158
20,14
21,2
22,145
23,20
24,4
25,2
26,7
27,19
28,3
29,20
30,1
31,24
32,3
33,15
34,2
35,9
36,4
37,13
38,1
39,1
40,28
41,7
42,3
43,237
44,24
45,448
46,298
47,57
48,65
49,50
50,1
51,12
52,116
53,2
54,44
55,22
56,106
57,79
58,5
59,45
60,16
61,1
62,2
63,580
64,5
65,15
66,3
67,2
68,1
69,3
70,2
71,12
72,1
73,4
74,16
75,1
76,218
77,1
78,1
79,4
80,5
81,14
82,5
83,1
84,18
85,1
86,4
87,3
88,240
89,1
90,92
91,7
92,5
93,6
94,1
95,10
96,9
97,18
98,1
99,1
100,1
101,3
102,35
103,54
104,163
105,196
106,31
107,3
108,88
109,9
110,3
111,10
112,1
113,1
114,1
115,3
116,8
117,3
118,14
119,5
120,6
121,9
122,5
123,61
124,3
125,3
126,1
127,2
128,2
129,48
130,189
131,21
132,53
133,101
134,2
135,2
136,1
137,30
138,3
139,10
140,23
141,7
142,29
143,33
144,1
145,231
146,7
147,12
148,28
149,1
150,79
151,29
152,1
153,26
154,26
155,47
156,215
157,8
158,4
159,25
160,2
161,1
162,1
163,1
164,2
165,59
166,13
167,40
168,1
169,15
170,8
171,4
172,1
173,2
174,1
175,14
176,17
177,19
178,2
179,71
180,9
181,1
182,30
183,8
184,23
185,37
186,69
187,22
188,5
189,22
190,42
191,1
192,8
193,17
194,85
195,9
196,3
197,28
198,108
199,2
200,9
201,24
202,1
203,72
204,7
205,2
206,118
207,5
208,7
209,1
210,1
211,210
212,4
213,17
214,2
215,1
216,4
217,1
218,25
219,23
220,2
221,91
222,4
223,1
224,34
225,11
226,65
227,5
228,12
229,5
230,13
231,22
232,144
233,47
234,1
235,4
236,1
237,83
238,6
239,5
240,12
241,1
242,8
243,22
244,53
245,10
246,24
247,30
248,14
249,11
250,1
251,2
252,11
253,1
254,1
255,233
256,100
257,166
258,6
259,17
260,1
261,3
262,4
263,16
264,2
265,2
266,1
267,40
268,11
269,217
270,3
271,25
272,3
273,6
274,1
275,4
276,1
277,5
278,2
279,6
280,341
281,8
282,20
283,63
284,2
285,4
286,83
287,20
288,2
289,6
290,1
291,1
292,98
293,3
294,2
295,5
296,10
297,10
298,1
299,13
300,2
301,61
302,5
303,1
304,63
305,5
306,6
307,1
308,189
309,14
310,17
311,7
312,54
313,1
314,10
315,8
316,76
317,1
318,9
319,29
320,4
321,2
322,2
323,182
324,2
325,286
326,1
327,4
328,98
329,1
330,3
331,5
332,9
333,1
334,25
335,1
336,8
337,1
338,15
339,7
340,8
341,367
342,19
343,13
344,158
345,20
346,8
347,2
348,182
349,1
350,116
351,146
352,2
353,8
354,2
355,1
356,80
357,1
358,5
359,4
360,4
361,1
362,1
363,3
364,58
365,8
366,1
367,72
368,1
369,2
370,1
371,8
372,4
373,7
374,5
375,1
376,7
377,2
378,11
379,10
380,1
381,45
382,10
383,5
384,18
385,2
386,18
387,2
388,14
389,4
390,1
391,18
392,66
393,16
394,7
395,20
396,13
397,1
398,186
399,42
400,103
401,5
402,2
403,4
404,8
405,6
406,2
407,3
408,16
409,1
410,34
411,11
412,3
413,8
414,3
415,14
416,27
417,59
418,1
419,34
420,8
421,94
422,2
423,8
424,129
425,7
426,1
427,2
428,23
429,18
430,3
431,81
432,4
433,39
434,59
435,3
436,2
437,8
438,1
439,3
440,6
441,3
442,16
443,53
444,10
445,24
446,156
447,14
448,59
449,4
450,12
451,6
452,2
453,2
454,4
455,11
456,18
457,12
458,22
459,36
460,57
461,10
462,6
463,73
464,106
465,4
466,1
467,5
468,102
469,1
470,1
471,1
472,515
473,1
474,4
475,8
476,11
477,10
478,1
479,157
480,16
481,2
482,2
483,1
484,6
485,37
486,10
487,7
488,8
489,2
490,17
491,18
492,2
493,2
494,1
495,3
496,7
497,1
498,2
499,2
500,7
501,1
502,9
503,4
504,32
505,2
506,5
507,1
508,86
509,32
510,4
511,26
512,3
513,22
514,13
515,10
516,3
517,35
518,26
519,200
520,16
521,19
522,44
523,37
524,2
525,106
526,6
527,7
528,6
529,21
530,38
531,46
532,1
533,2
534,29
535,33
536,1
537,13
538,17
539,2
540,21
541,3
542,5
543,4
544,16
545,39
546,5
547,41
548,1
549,8
550,13
551,3
552,4
553,18
554,163
555,267
556,3
557,5
558,32
559,40
560,53
561,25
562,2
563,20
564,4
565,1
566,6
567,3
568,15
569,7
570,7
571,7
572,1
573,1
574,9
575,2
576,156
577,4
578,12
579,7
580,5
581,7
582,1
583,88
584,106
585,4
586,8
587,1
588,3
589,5
590,11
591,4
592,126
593,428
594,40
595,12
596,3
597,22
598,10
599,1
600,1
601,158
602,3
603,4
604,3
605,1
606,22
607,57
608,109
609,4
610,1
611,1
612,50
613,6
614,10
615,36
616,1
617,16
618,56
619,250
620,1
621,146
622,1
623,1
624,77
625,73
626,4
627,26
628,1
629,186
630,2
631,5
632,9
633,13
634,158
635,29
636,7
637,27
638,1
639,3
640,2
641,15
642,2
643,2
644,1
645,14
646,2
647,8
648,17
649,1
650,45
651,15
652,4
653,47
654,15
655,1
656,1
657,5
658,11
659,20
660,3
661,7
662,9
663,28
664,73
665,3
666,9
667,35
668,2
669,2
670,11
671,5
672,3
673,30
674,4
675,296
676,23
677,9
678,1
679,5
680,9
681,9
682,2
683,8
684,2
685,14
686,45
687,3
688,2
689,25
690,40
691,841
692,31
693,2
694,2
695,11
696,9
697,13
698,1
699,155
700,9
701,27
702,7
703,81
704,17
705,7
706,30
707,64
708,46
709,8
710,2
711,2
712,28
713,2
714,2
715,3
716,367
717,8
718,5
719,1
720,2
721,3
722,22
723,8
724,8
725,4
726,1
727,45
728,3
729,21
730,3
731,3
732,1
733,9
734,2
735,100
736,2
737,11
738,27
739,1
740,1
741,1
742,2
743,3
744,3
745,5
746,6
747,25
748,5
749,7
750,1
751,1
752,1
753,1
754,61
755,7
756,11
757,5
758,31
759,16
760,8
761,1
762,176
763,1
764,10
765,7
766,3
767,8
768,22
769,4
770,3
771,13
772,11
773,7
774,6
775,6
776,18
777,4
778,1
779,11
780,64
781,3
782,7
783,1
784,1
785,2
786,7
787,30
788,39
789,5
790,3
791,12
792,1
793,3
794,2
795,1
796,44
797,3
798,71
799,98
800,1
801,1
802,22
803,1
804,1
805,24
806,1
807,3
808,85
809,2
810,43
811,96
812,39
813,22
814,19
815,7
816,80
817,57
818,14
819,1
820,1
821,34
822,8
823,14
824,6
825,1
826,6
827,11
828,1
829,5
830,10
831,2
832,7
833,123
834,4
835,12
836,33
837,10
838,31
839,30
840,3
841,3
842,3
843,9
844,105
845,43
846,1
847,17
848,1
849,18
850,3
851,101
852,8
853,17
854,1
855,47
856,153
857,86
858,6
859,1
860,36
861,1
862,2
863,3
864,4
865,30
866,8
867,1
868,13
869,1
870,2
871,11
872,3
873,6
874,12
875,138
876,1
877,1
878,1
879,5
880,37
881,113
882,5
883,18
884,41
885,5
886,1
887,1
888,9
889,2
890,6
891,1
892,2
893,32
894,3
895,24
896,17
897,115
898,5
899,12
900,4
901,61
902,10
903,1
904,3
905,1
906,16
907,15
908,14
909,89
910,5
911,11
912,18
913,1
914,8
915,39
916,2
917,4
918,385
919,4
920,45
921,1
922,45
923,2
924,15
925,14
926,1
927,10
928,1
929,12
930,5
931,22
932,1
933,1
934,45
935,8
936,19
937,55
938,219
939,2
940,2
941,48
942,1
943,59
944,1
945,6
946,1
947,31
948,49
949,3
950,103
951,7
952,1
953,6
954,5
955,13
956,22
957,85
958,3
959,10
960,1
961,9
962,3
963,80
964,140
965,35
966,1
967,10
968,2
969,24
970,100
971,4
972,1
973,27
974,1
975,69
976,5
977,11
978,18
979,2
980,37
981,1
982,8
983,156
984,7
985,20
986,3
987,10
988,2
989,3
990,4
991,4
992,6
993,51
994,1
995,7
996,33
997,7
998,8
999,3
1000,11
1001,7
1002,5
1003,65
1004,11
1005,1
1006,15
1007,11
1008,91
1009,9
1010,19
1011,2
1012,13
1013,4
1014,5
1015,3
1016,26
1017,2
1018,1
1019,11
1020,9
1021,1
1022,4
1023,2
1024,41
1025,2
1026,40
1027,3
1028,30
1029,34
1030,14
1031,12
1032,1
1033,1
1034,5
1035,1
1036,5
1037,2
1038,6
1039,5
1040,1
1041,23
1042,27
1043,1
1044,115
1045,1
1046,2
1047,22
1048,1
1049,88
1050,8
1051,11
1052,18
1053,3
1054,8
1055,2
1056,10
1057,1
1058,6
1059,4
1060,2
1061,7
1062,13
1063,31
1064,168
1065,8
1066,1
1067,2
1068,8
1069,1
1070,9
1071,18
1072,2
1073,4
1074,6
1075,11
1076,17
1077,3
1078,9
1079,12
1080,26
1081,17
1082,30
1083,18
1084,2
1085,22
1086,50
1087,8
1088,10
